tmdb_id,title,description,poster,popularity,genres,rating,rating_count,release_date
14435,My Bloody Valentine,"Ten years ago, a tragedy changed the town of Harmony forever. Tom Hanniger, an inexperienced coal miner, caused an accident in the tunnels that trapped and killed five men and sent the only survivor, Harry Warden, into a permanent coma. But Harry Warden wanted revenge. Exactly one year later, on Valentine’s Day, he woke up…and brutally murdered twenty-two people with a pickaxe before being killed.",/zFFoCSdZdPQ3kVXqC20FfY7hO9x.jpg,18.382,"[{'id': 9648, 'name': 'Mystery'}, {'id': 27, 'name': 'Horror'}]",5.5,757,2009-01-16
653610,Disclosure,"An investigation of how Hollywood's fabled stories have deeply influenced how Americans feel about transgender people, and how transgender people have been taught to feel about themselves.",/2MB2FPNxdSlykbH7ghBltoBYnTH.jpg,17.308,"[{'id': 99, 'name': 'Documentary'}, {'id': 36, 'name': 'History'}]",8.3,61,2020-01-27
382591,Two Is a Family,A man without attachments or responsibilities suddenly finds himself with an abandoned baby and leaves for London to try and find the mother. Eight years later after he and his daughter become inseparable Gloria's mother reappears.,/aFgtdhuzgI2eqnIVWtRB03x3pnt.jpg,15.799,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]",7.8,2383,2016-12-07
18480,Brüno,Flamboyantly gay Austrian television reporter Bruno stirs up trouble with unsuspecting guests and large crowds through brutally frank interviews and painfully hilarious public displays of homosexuality.,/9b4ypXWaDARjVgfBnarv2XkncQa.jpg,15.965,"[{'id': 35, 'name': 'Comedy'}]",5.6,1135,2009-07-08
10734,Escape From Alcatraz,"San Francisco Bay, January 18, 1960. Frank Lee Morris is transferred to Alcatraz, a maximum security prison located on a rocky island. Although no one has ever managed to escape from there, Frank and other inmates begin to carefully prepare an escape plan.",/fEXxILY3zm8821sEMSHrD1rjMe.jpg,14.486,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]",7.5,1707,1979-01-25
10199,The Tale of Despereaux,"Once upon a time... in the far away kingdom of Dor... lived a brave and virtuous mouse with comically oversized ears who dreamt of becoming a knight. Banished from his home for having such lofty ambitions, Despereaux sets off on an amazing adventure with his good-hearted rat friend Roscuro, who leads him, at long last, on a very noble quest to rescue an endangered princess and save an entire kingdom from darkness.",/yADB4GsH2AvSHPsBVGjj8wByonk.jpg,18.16,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",6.0,612,2008-12-18
372782,Manhunt,"Accused of a murder he didn't commit, a prosecutor sets out on a mission to clear his name.",/qZExZe5R4piUOvm8Wn6ZrVgC1e1.jpg,15.824,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",5.8,75,2017-11-19
80274,Ender's Game,"Based on the classic novel by Orson Scott Card, Ender's Game is the story of the Earth's most gifted children training to defend their homeplanet in the space wars of the future.",/tBgkQqrO2RMgGQR6zod3bSjcPWx.jpg,23.55,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}]",6.6,4249,2013-10-24
10028,Honey,"Honey Daniels dreams of making a name for herself as a hip-hop choreographer. When she's not busy hitting downtown clubs with her friends, she teaches dance classes at a nearby community center in Harlem, N.Y., as a way to keep kids off the streets. Honey thinks she's hit the jackpot when she meets a hotshot director casts her in one of his music videos. But, when he starts demanding sexual favors from her, Honey makes a decision that will change her life.",/xyqsfWcjC9TQZjGn2NLspL5YoJ4.jpg,20.949,"[{'id': 10749, 'name': 'Romance'}, {'id': 10402, 'name': 'Music'}, {'id': 10751, 'name': 'Family'}]",6.3,851,2003-11-24
6069,The Witches of Eastwick,Three single women in a picturesque village have their wishes granted - at a cost - when a mysterious and flamboyant man arrives in their lives.,/zJGsoVAQvnyI8gBPZvNpngLjVQ9.jpg,15.881,"[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 18, 'name': 'Drama'}]",6.4,819,1987-06-12
